Order_ID,Order_Date,Category,Sub_Category,Region,Segment,Sales,Quantity,Profit,Discount
ORD-000025,2020-01-03,Office Supplies,Pens,South,Consumer,83.89,6,22.98,0.15
ORD-000026,2020-01-03,Office Supplies,Pens,West,Home Office,406.82,4,106.3,0.0
ORD-000027,2020-01-03,Technology,Accessories,West,Consumer,1384.38,9,177.71,0.15
ORD-000028,2020-01-04,Furniture,Bookcases,West,Corporate,905.87,6,179.61,0.15
ORD-000029,2020-01-04,Office Supplies,Pens,South,Consumer,31.39,5,10.07,0.1
ORD-000030,2020-01-04,Office Supplies,Pens,West,Consumer,256.45,1,38.16,0.1
ORD-000031,2020-01-04,Furniture,Chairs,South,Home Office,1096.04,1,258.26,0.0
ORD-000032,2020-01-04,Furniture,Tables,West,Home Office,995.96,9,143.4,0.0
ORD-000033,2020-01-04,Furniture,Bookcases,South,Corporate,1414.06,9,143.2,0.0
ORD-000034,2020-01-04,Office Supplies,Binders,South,Consumer,324.8,1,45.6,0.15
ORD-000035,2020-01-04,Furniture,Chairs,East,Home Office,323.82,9,60.65,0.1
ORD-000036,2020-01-04,Office Supplies,Pens,South,Corporate,491.57,4,114.25,0.0
ORD-000037,2020-01-05,Technology,Phones,West,Consumer,1188.33,1,141.22,0.0
ORD-000038,2020-01-05,Office Supplies,Paper,South,Home Office,93.13,9,18.5,0.15
ORD-000039,2020-01-05,Office Supplies,Binders,South,Corporate,311.61,6,59.1,0.0
ORD-000040,2020-01-05,Furniture,Tables,West,Consumer,1281.62,9,353.24,0.0
ORD-000041,2020-01-05,Technology,Computers,Central,Corporate,1640.56,9,414.86,0.0
ORD-000042,2020-01-05,Office Supplies,Paper,South,Consumer,105.28,8,29.0,0.1
ORD-000043,2020-01-06,Furniture,Chairs,Central,Corporate,398.1,6,110.93,0.1
ORD-000044,2020-01-06,Furniture,Tables,West,Home Office,1204.26,3,252.58,0.0
ORD-000045,2020-01-06,Office Supplies,Binders,East,Corporate,275.19,7,37.04,0.0
ORD-000046,2020-01-06,Technology,Computers,East,Corporate,1690.1,9,459.92,0.0
ORD-000047,2020-01-06,Furniture,Bookcases,West,Consumer,1267.75,6,206.09,0.0
ORD-000048,2020-01-06,Office Supplies,Pens,South,Corporate,56.11,7,15.04,0.0
ORD-000049,2020-01-06,Office Supplies,Binders,Central,Consumer,266.17,5,44.69,0.2
ORD-000050,2020-01-07,Furniture,Chairs,West,Corporate,83.85,2,13.85,0.0
ORD-000051,2020-01-07,Technology,Phones,South,Home Office,817.8,3,208.18,0.0
ORD-000052,2020-01-07,Technology,Accessories,Central,Consumer,1290.87,1,439.28,0.15
ORD-000053,2020-01-07,Furniture,Tables,Central,Corporate,777.46,8,205.77,0.0
ORD-000054,2020-01-07,Office Supplies,Binders,East,Home Office,402.96,2,98.06,0.0
ORD-000055,2020-01-07,Furniture,Chairs,South,Corporate,1158.3,5,252.94,0.0
ORD-000056,2020-01-07,Office Supplies,Paper,West,Consumer,177.74,5,21.96,0.0
ORD-000057,2020-01-07,Technology,Phones,Central,Home Office,928.92,7,103.97,0.0
ORD-000058,2020-01-07,Furniture,Chairs,Central,Corporate,944.14,5,303.7,0.0
ORD-000059,2020-01-08,Furniture,Chairs,East,Corporate,172.2,8,20.35,0.15
ORD-000060,2020-01-08,Technology,Accessories,East,Corporate,861.66,1,104.02,0.0
ORD-000061,2020-01-08,Technology,Computers,South,Corporate,207.27,8,26.82,0.1
ORD-000062,2020-01-08,Furniture,Chairs,Central,Home Office,1481.83,4,277.92,0.1
ORD-000063,2020-01-08,Furniture,Tables,East,Consumer,173.26,3,42.51,0.15
ORD-000064,2020-01-08,Office Supplies,Binders,East,Home Office,445.61,2,152.47,0.1
ORD-000065,2020-01-08,Office Supplies,Paper,South,Corporate,356.0,3,45.5,0.0
ORD-000066,2020-01-08,Office Supplies,Binders,Central,Consumer,55.01,9,13.12,0.0
ORD-000067,2020-01-08,Technology,Phones,East,Home Office,273.84,7,92.89,0.1
ORD-000068,2020-01-08,Technology,Computers,East,Consumer,1061.5,9,191.08,0.15
ORD-000069,2020-01-08,Office Supplies,Binders,South,Consumer,127.09,7,36.57,0.1
ORD-000070,2020-01-08,Furniture,Chairs,East,Home Office,1488.37,4,287.26,0.1
ORD-000071,2020-01-08,Technology,Computers,East,Home Office,1769.74,4,361.89,0.2
ORD-000072,2020-01-08,Technology,Accessories,South,Consumer,316.04,5,70.67,0.0
ORD-000073,2020-01-09,Technology,Computers,Central,Home Office,1183.2,1,256.96,0.0
ORD-000074,2020-01-09,Technology,Computers,East,Corporate,1979.07,1,384.31,0.1
ORD-000075,2020-01-09,Office Supplies,Paper,West,Corporate,467.8,2,111.29,0.0
ORD-000076,2020-01-09,Technology,Phones,East,Corporate,245.18,6,82.74,0.1
ORD-000077,2020-01-09,Technology,Accessories,Central,Consumer,1095.68,9,168.96,0.0
ORD-000078,2020-01-09,Furniture,Chairs,South,Corporate,323.31,8,60.89,0.0
ORD-000079,2020-01-09,Technology,Phones,West,Corporate,831.35,7,92.58,0.0
ORD-000080,2020-01-09,Furniture,Tables,South,Consumer,1458.72,5,161.7,0.15
ORD-000081,2020-01-09,Technology,Phones,South,Home Office,1428.85,1,242.82,0.0
ORD-000082,2020-01-10,Technology,Computers,South,Consumer,268.47,9,66.44,0.0
ORD-000083,2020-01-10,Technology,Accessories,East,Consumer,494.64,1,132.53,0.1
ORD-000084,2020-01-10,Office Supplies,Pens,West,Corporate,265.44,6,81.71,0.0
ORD-000085,2020-01-10,Technology,Accessories,West,Consumer,1117.32,5,390.12,0.0
ORD-000086,2020-01-10,Technology,Phones,East,Corporate,1717.5,1,275.27,0.0
ORD-000087,2020-01-11,Office Supplies,Paper,East,Corporate,355.73,3,115.89,0.1
ORD-000088,2020-01-11,Furniture,Tables,West,Corporate,975.13,3,317.93,0.0
ORD-000089,2020-01-11,Furniture,Chairs,South,Home Office,626.27,7,144.61,0.1
ORD-000090,2020-01-11,Technology,Computers,South,Consumer,1037.15,4,222.76,0.2
ORD-000091,2020-01-11,Technology,Computers,East,Corporate,1306.14,3,306.05,0.0
ORD-000092,2020-01-11,Office Supplies,Pens,West,Consumer,450.35,3,103.04,0.2
ORD-000093,2020-01-11,Technology,Computers,Central,Home Office,1664.81,2,282.43,0.0
ORD-000094,2020-01-12,Technology,Computers,West,Corporate,1114.48,9,316.91,0.0
ORD-000095,2020-01-12,Furniture,Tables,Central,Home Office,1086.81,7,247.7,0.0
ORD-000096,2020-01-12,Office Supplies,Pens,Central,Corporate,125.98,7,29.33,0.1
ORD-000097,2020-01-12,Furniture,Chairs,East,Consumer,567.47,2,75.01,0.0
ORD-000098,2020-01-12,Office Supplies,Paper,West,Consumer,246.32,6,29.67,0.15
ORD-000099,2020-01-12,Office Supplies,Paper,East,Corporate,436.45,8,125.29,0.0
ORD-000100,2020-01-13,Furniture,Chairs,Central,Corporate,1489.1,8,450.41,0.0
ORD-000101,2020-01-13,Technology,Computers,Central,Home Office,1016.67,3,114.84,0.0
ORD-000102,2020-01-13,Office Supplies,Paper,South,Consumer,270.29,1,68.29,0.0
ORD-000103,2020-01-13,Office Supplies,Pens,South,Corporate,147.55,5,21.65,0.0
ORD-000104,2020-01-13,Office Supplies,Binders,West,Consumer,251.08,6,67.08,0.15
ORD-000105,2020-01-13,Office Supplies,Paper,West,Consumer,468.66,5,58.79,0.0
ORD-000106,2020-01-13,Office Supplies,Binders,Central,Corporate,150.07,8,48.65,0.0
ORD-000107,2020-01-13,Technology,Accessories,West,Consumer,742.98,4,194.27,0.0
ORD-000108,2020-01-13,Furniture,Bookcases,East,Consumer,747.23,4,175.06,0.0
ORD-000109,2020-01-13,Technology,Phones,Central,Corporate,724.02,9,233.59,0.0
ORD-000110,2020-01-13,Office Supplies,Pens,South,Consumer,492.58,6,98.25,0.2
ORD-000111,2020-01-14,Technology,Phones,East,Consumer,1583.5,1,171.62,0.0
ORD-000112,2020-01-14,Office Supplies,Pens,East,Consumer,272.12,7,66.2,0.2
ORD-000113,2020-01-14,Office Supplies,Pens,Central,Corporate,471.77,7,133.34,0.1
ORD-000114,2020-01-14,Furniture,Bookcases,South,Corporate,1358.13,6,319.09,0.0
ORD-000115,2020-01-14,Technology,Phones,East,Consumer,846.07,2,199.58,0.15
ORD-000116,2020-01-14,Office Supplies,Pens,East,Corporate,33.66,8,10.33,0.1
ORD-000117,2020-01-14,Technology,Phones,West,Corporate,337.06,8,117.21,0.0
ORD-000118,2020-01-14,Technology,Phones,East,Home Office,1001.68,6,203.3,0.0
ORD-000119,2020-01-14,Furniture,Bookcases,East,Consumer,1234.42,4,221.02,0.0
ORD-000120,2020-01-15,Furniture,Chairs,East,Corporate,535.11,4,125.4,0.15
ORD-000121,2020-01-15,Technology,Phones,South,Corporate,1740.19,8,392.5,0.0
ORD-000122,2020-01-15,Technology,Accessories,Central,Corporate,519.67,2,138.17,0.0
ORD-000123,2020-01-15,Office Supplies,Pens,West,Consumer,254.93,6,27.65,0.0
ORD-000124,2020-01-15,Technology,Computers,Central,Home Office,500.25,3,93.72,0.0
ORD-000125,2020-01-15,Furniture,Bookcases,West,Home Office,1122.59,1,277.02,0.0
ORD-000126,2020-01-15,Office Supplies,Binders,Central,Home Office,300.59,5,58.56,0.1
ORD-000127,2020-01-15,Furniture,Tables,South,Home Office,721.98,8,163.51,0.1
ORD-000128,2020-01-15,Office Supplies,Binders,East,Corporate,48.02,8,14.89,0.15
ORD-000129,2020-01-15,Office Supplies,Pens,South,Consumer,463.35,8,121.79,0.1
ORD-000130,2020-01-15,Office Supplies,Pens,Central,Corporate,133.76,5,41.03,0.2
ORD-000131,2020-01-15,Office Supplies,Paper,South,Consumer,249.03,4,69.87,0.1
ORD-000132,2020-01-15,Technology,Accessories,West,Consumer,296.39,4,63.5,0.1
ORD-000133,2020-01-15,Technology,Computers,East,Consumer,415.68,4,54.52,0.15
ORD-000134,2020-01-16,Technology,Phones,West,Home Office,225.54,3,48.11,0.0
ORD-000135,2020-01-16,Technology,Computers,West,Corporate,1558.96,4,226.8,0.15
ORD-000136,2020-01-16,Office Supplies,Pens,South,Corporate,143.1,2,28.93,0.0
ORD-000137,2020-01-16,Furniture,Bookcases,East,Consumer,852.62,3,134.52,0.1
ORD-000138,2020-01-16,Technology,Computers,East,Home Office,1185.58,3,312.03,0.0
ORD-000139,2020-01-17,Technology,Computers,West,Home Office,1805.56,1,399.38,0.0
ORD-000140,2020-01-17,Office Supplies,Binders,Central,Corporate,188.52,7,31.49,0.1
ORD-000141,2020-01-17,Furniture,Tables,East,Corporate,1302.81,3,439.2,0.1
ORD-000142,2020-01-17,Furniture,Bookcases,Central,Corporate,69.08,7,19.62,0.15
ORD-000143,2020-01-17,Technology,Accessories,South,Consumer,903.67,2,296.09,0.1
ORD-000144,2020-01-17,Office Supplies,Binders,South,Corporate,418.18,4,140.55,0.0
ORD-000145,2020-01-18,Furniture,Bookcases,South,Home Office,916.05,1,205.28,0.0
ORD-000146,2020-01-18,Furniture,Chairs,East,Home Office,470.24,4,131.56,0.0
ORD-000147,2020-01-18,Furniture,Tables,South,Corporate,292.13,1,35.26,0.1
ORD-000148,2020-01-18,Technology,Phones,East,Home Office,1193.41,1,244.28,0.0
ORD-000149,2020-01-18,Office Supplies,Binders,West,Home Office,336.37,6,44.99,0.0
ORD-000150,2020-01-18,Technology,Computers,West,Consumer,873.01,6,268.39,0.0
ORD-000151,2020-01-18,Furniture,Chairs,East,Corporate,446.4,6,146.68,0.0
ORD-000152,2020-01-18,Furniture,Chairs,East,Home Office,367.41,6,113.43,0.2
ORD-000153,2020-01-18,Furniture,Tables,East,Home Office,1359.76,6,384.87,0.0
ORD-000154,2020-01-19,Technology,Computers,West,Consumer,757.12,8,213.54,0.0
ORD-000155,2020-01-19,Office Supplies,Binders,East,Home Office,47.38,2,14.21,0.1
ORD-000156,2020-01-19,Furniture,Tables,West,Home Office,508.04,1,68.18,0.2
ORD-000157,2020-01-19,Office Supplies,Paper,Central,Corporate,481.28,3,136.23,0.15
ORD-000158,2020-01-20,Furniture,Bookcases,Central,Consumer,820.15,3,96.37,0.0
ORD-000159,2020-01-20,Office Supplies,Paper,West,Corporate,429.55,2,68.04,0.0
ORD-000160,2020-01-20,Technology,Computers,West,Consumer,741.99,4,211.02,0.0
ORD-000161,2020-01-20,Technology,Computers,East,Consumer,172.1,9,42.2,0.0
ORD-000162,2020-01-20,Technology,Computers,East,Consumer,1294.22,2,137.32,0.15
ORD-000163,2020-01-20,Furniture,Chairs,East,Corporate,107.59,7,37.64,0.0
ORD-000164,2020-01-20,Furniture,Bookcases,East,Corporate,918.16,3,220.51,0.0
ORD-000165,2020-01-20,Furniture,Bookcases,Central,Consumer,740.49,4,230.39,0.0
ORD-000166,2020-01-20,Furniture,Tables,Central,Corporate,225.63,7,39.34,0.15
ORD-000167,2020-01-20,Technology,Computers,South,Corporate,1970.75,2,438.21,0.0
ORD-000168,2020-01-20,Office Supplies,Paper,Central,Corporate,366.56,7,65.55,0.0
ORD-000169,2020-01-21,Technology,Computers,Central,Consumer,309.25,9,83.47,0.0
ORD-000170,2020-01-21,Furniture,Chairs,East,Consumer,180.38,6,62.34,0.15
ORD-000171,2020-01-21,Office Supplies,Binders,East,Corporate,92.22,4,10.72,0.0
ORD-000172,2020-01-21,Technology,Accessories,West,Consumer,1685.11,2,330.32,0.0
ORD-000173,2020-01-21,Furniture,Bookcases,South,Corporate,1216.09,6,416.24,0.15
ORD-000174,2020-01-22,Office Supplies,Paper,South,Corporate,272.14,5,42.19,0.1
ORD-000175,2020-01-22,Technology,Phones,East,Corporate,1045.27,3,320.03,0.0
ORD-000176,2020-01-22,Furniture,Chairs,Central,Consumer,852.4,2,172.28,0.0
ORD-000177,2020-01-22,Furniture,Bookcases,East,Consumer,1118.97,8,334.97,0.1
ORD-000178,2020-01-22,Office Supplies,Pens,West,Consumer,120.19,9,29.83,0.0
ORD-000179,2020-01-22,Furniture,Chairs,East,Home Office,627.24,2,139.75,0.2
ORD-000180,2020-01-22,Furniture,Bookcases,East,Home Office,447.71,9,49.74,0.15
ORD-000181,2020-01-23,Office Supplies,Pens,South,Consumer,174.45,9,58.01,0.0
ORD-000182,2020-01-23,Office Supplies,Binders,South,Home Office,444.0,9,47.65,0.15
ORD-000183,2020-01-23,Furniture,Bookcases,East,Corporate,1373.8,2,418.31,0.15
ORD-000184,2020-01-23,Technology,Accessories,West,Consumer,1277.91,1,306.65,0.0
ORD-000185,2020-01-23,Furniture,Chairs,Central,Corporate,462.93,7,108.93,0.2
ORD-000186,2020-01-24,Furniture,Bookcases,West,Consumer,342.13,1,89.95,0.0
ORD-000187,2020-01-24,Technology,Accessories,South,Corporate,1551.47,5,536.8,0.0
ORD-000188,2020-01-24,Furniture,Bookcases,Central,Home Office,1435.5,8,298.7,0.15
ORD-000189,2020-01-24,Technology,Phones,Central,Home Office,1617.74,4,501.48,0.1
ORD-000190,2020-01-24,Technology,Computers,South,Corporate,1908.84,1,558.81,0.1
ORD-000191,2020-01-24,Technology,Accessories,Central,Consumer,832.78,1,150.65,0.0
ORD-000192,2020-01-24,Furniture,Chairs,West,Corporate,159.05,2,50.56,0.2
ORD-000193,2020-01-24,Office Supplies,Pens,South,Corporate,110.33,5,15.27,0.0
ORD-000194,2020-01-24,Office Supplies,Pens,West,Home Office,229.57,2,80.18,0.0
ORD-000195,2020-01-25,Technology,Accessories,West,Corporate,722.8,2,216.4,0.0
ORD-000196,2020-01-25,Technology,Phones,South,Consumer,238.82,2,52.54,0.1
ORD-000197,2020-01-25,Office Supplies,Pens,East,Consumer,459.05,3,67.19,0.0
ORD-000198,2020-01-25,Furniture,Tables,Central,Consumer,935.18,4,194.12,0.0
ORD-000199,2020-01-26,Furniture,Bookcases,West,Corporate,914.93,9,290.9,0.0
ORD-000200,2020-01-26,Office Supplies,Pens,South,Corporate,412.58,3,45.46,0.0
ORD-000201,2020-01-26,Technology,Computers,South,Corporate,1294.69,4,239.34,0.15
ORD-000202,2020-01-26,Technology,Accessories,East,Home Office,1812.08,9,605.33,0.0
ORD-000203,2020-01-26,Office Supplies,Binders,South,Consumer,99.75,7,20.79,0.0
ORD-000204,2020-01-26,Furniture,Chairs,West,Consumer,178.32,1,54.59,0.0
ORD-000205,2020-01-26,Furniture,Bookcases,South,Corporate,951.18,4,177.4,0.1
ORD-000206,2020-01-26,Technology,Computers,East,Home Office,1018.16,8,138.96,0.0
ORD-000207,2020-01-26,Office Supplies,Binders,West,Home Office,108.98,2,33.28,0.0
ORD-000208,2020-01-27,Furniture,Tables,Central,Corporate,534.7,8,183.77,0.1
ORD-000209,2020-01-27,Furniture,Bookcases,Central,Consumer,155.51,1,48.23,0.0
ORD-000210,2020-01-27,Technology,Accessories,West,Consumer,1716.98,5,320.19,0.0
ORD-000211,2020-01-27,Furniture,Chairs,Central,Consumer,689.65,5,137.16,0.1
ORD-000212,2020-01-27,Office Supplies,Binders,South,Corporate,332.72,3,82.54,0.15
ORD-000213,2020-01-27,Office Supplies,Paper,West,Consumer,371.2,3,109.13,0.0
ORD-000214,2020-01-28,Office Supplies,Paper,South,Corporate,29.44,7,4.6,0.0
ORD-000215,2020-01-28,Office Supplies,Binders,Central,Corporate,78.86,4,21.78,0.0
ORD-000216,2020-01-28,Office Supplies,Binders,West,Consumer,324.96,9,79.62,0.0
ORD-000217,2020-01-28,Office Supplies,Paper,East,Consumer,298.13,4,103.35,0.2
ORD-000218,2020-01-28,Technology,Phones,East,Home Office,1759.42,4,294.59,0.0
ORD-000219,2020-01-28,Furniture,Tables,West,Corporate,314.15,5,36.84,0.0
ORD-000220,2020-01-28,Technology,Computers,South,Corporate,379.03,5,61.47,0.1
ORD-000221,2020-01-28,Technology,Accessories,Central,Home Office,551.54,3,116.1,0.0
ORD-000222,2020-01-28,Technology,Accessories,East,Consumer,862.95,3,227.98,0.0
ORD-000223,2020-01-28,Furniture,Chairs,Central,Corporate,800.9,9,212.76,0.0
ORD-000224,2020-01-28,Technology,Phones,South,Corporate,420.8,9,105.78,0.0
ORD-000225,2020-01-29,Office Supplies,Binders,West,Corporate,384.28,9,74.91,0.15
ORD-000226,2020-01-29,Technology,Phones,East,Consumer,1143.34,3,179.3,0.0
ORD-000227,2020-01-29,Technology,Phones,Central,Consumer,800.86,7,192.89,0.0
ORD-000228,2020-01-29,Technology,Phones,Central,Home Office,1760.98,1,229.02,0.0
ORD-000229,2020-01-29,Office Supplies,Binders,East,Corporate,171.23,6,35.88,0.15
ORD-000230,2020-01-29,Furniture,Tables,South,Consumer,1237.03,9,241.28,0.0
ORD-000231,2020-01-29,Furniture,Chairs,South,Consumer,892.02,2,312.08,0.0
ORD-000232,2020-01-29,Office Supplies,Paper,South,Home Office,468.85,4,126.18,0.0
ORD-000233,2020-01-29,Furniture,Chairs,Central,Home Office,1427.85,2,229.94,0.15
ORD-000234,2020-01-29,Furniture,Chairs,East,Home Office,1031.17,6,326.92,0.0
ORD-000235,2020-01-29,Technology,Phones,East,Consumer,1764.52,9,216.37,0.0
ORD-000236,2020-01-30,Technology,Computers,Central,Consumer,677.93,8,207.21,0.0
ORD-000237,2020-01-30,Technology,Computers,East,Home Office,1268.37,9,393.15,0.15
ORD-000238,2020-01-30,Furniture,Bookcases,West,Consumer,595.11,7,154.43,0.0
ORD-000239,2020-01-30,Furniture,Bookcases,East,Home Office,1084.54,8,323.57,0.0
ORD-000240,2020-01-30,Furniture,Tables,West,Consumer,1474.98,9,340.16,0.0
ORD-000241,2020-01-30,Office Supplies,Pens,Central,Consumer,246.26,3,30.87,0.0
ORD-000242,2020-01-30,Technology,Accessories,Central,Home Office,1814.5,5,588.82,0.0
ORD-000243,2020-01-30,Office Supplies,Pens,Central,Home Office,410.79,2,114.56,0.0
ORD-000244,2020-01-30,Technology,Computers,Central,Consumer,1635.43,3,401.06,0.0
ORD-000245,2020-01-31,Technology,Phones,South,Corporate,405.16,4,71.22,0.0
ORD-000246,2020-01-31,Technology,Phones,West,Consumer,278.27,6,34.03,0.1
ORD-000247,2020-01-31,Technology,Accessories,South,Home Office,391.99,5,111.44,0.1
ORD-000248,2020-01-31,Technology,Accessories,South,Consumer,675.76,8,201.96,0.15
ORD-000249,2020-01-31,Technology,Phones,East,Home Office,1543.64,7,361.15,0.0
ORD-000250,2020-01-31,Office Supplies,Binders,South,Consumer,235.3,6,62.91,0.2
ORD-000251,2020-01-31,Furniture,Tables,East,Home Office,1116.28,4,128.41,0.0
ORD-000252,2020-01-31,Furniture,Chairs,East,Home Office,635.61,1,99.58,0.0
ORD-000253,2020-01-31,Office Supplies,Pens,South,Corporate,61.39,6,15.02,0.0
ORD-000254,2020-01-31,Office Supplies,Pens,East,Corporate,209.4,6,44.28,0.1
ORD-000255,2020-01-31,Office Supplies,Binders,East,Corporate,321.66,9,72.11,0.2
ORD-000256,2020-01-31,Furniture,Chairs,Central,Consumer,189.95,5,49.48,0.1
ORD-000257,2020-01-31,Technology,Computers,Central,Corporate,964.26,2,133.31,0.0
ORD-000258,2020-01-31,Technology,Phones,South,Corporate,1380.7,5,231.66,0.0
ORD-000259,2020-02-01,Technology,Phones,West,Home Office,557.73,1,98.37,0.0
ORD-000260,2020-02-01,Office Supplies,Binders,South,Corporate,264.36,3,78.4,0.0
ORD-000261,2020-02-01,Technology,Computers,South,Home Office,860.08,6,261.78,0.0
ORD-000262,2020-02-01,Furniture,Tables,West,Corporate,256.48,7,45.18,0.0
ORD-000263,2020-02-02,Office Supplies,Binders,West,Consumer,38.75,2,4.44,0.1
ORD-000264,2020-02-02,Furniture,Chairs,Central,Corporate,929.77,7,128.31,0.0
ORD-000265,2020-02-02,Technology,Accessories,South,Consumer,1151.62,4,241.7,0.0
ORD-000266,2020-02-02,Office Supplies,Binders,Central,Corporate,120.36,4,29.28,0.15
ORD-000267,2020-02-02,Furniture,Chairs,East,Corporate,508.22,1,127.85,0.1
ORD-000268,2020-02-02,Technology,Accessories,Central,Consumer,1678.84,5,218.99,0.0
ORD-000269,2020-02-03,Furniture,Chairs,West,Consumer,244.71,1,64.77,0.15
ORD-000270,2020-02-03,Office Supplies,Paper,East,Consumer,201.28,4,37.72,0.1
ORD-000271,2020-02-03,Technology,Accessories,East,Consumer,173.41,7,48.4,0.0
ORD-000272,2020-02-03,Furniture,Bookcases,West,Consumer,946.57,7,217.34,0.0
ORD-000273,2020-02-03,Furniture,Chairs,East,Corporate,1408.44,8,303.34,0.1
ORD-000274,2020-02-03,Furniture,Tables,South,Corporate,745.24,9,188.93,0.15
ORD-000275,2020-02-03,Office Supplies,Pens,East,Home Office,46.88,3,6.77,0.1
ORD-000276,2020-02-03,Technology,Computers,West,Consumer,1967.4,2,228.52,0.0
ORD-000277,2020-02-03,Furniture,Tables,Central,Consumer,1160.23,8,271.29,0.0
ORD-000278,2020-02-03,Furniture,Bookcases,East,Consumer,1173.39,7,239.42,0.0
ORD-000279,2020-02-03,Furniture,Bookcases,West,Home Office,1206.66,3,231.61,0.0
ORD-000280,2020-02-03,Technology,Accessories,South,Consumer,545.7,4,78.27,0.1
ORD-000281,2020-02-03,Technology,Accessories,East,Home Office,969.84,4,161.48,0.0
ORD-000282,2020-02-04,Office Supplies,Binders,East,Consumer,151.14,7,48.34,0.0
ORD-000283,2020-02-04,Furniture,Tables,East,Consumer,1110.37,2,170.31,0.0
ORD-000284,2020-02-04,Office Supplies,Pens,South,Corporate,381.71,9,127.62,0.0
ORD-000285,2020-02-04,Office Supplies,Binders,East,Consumer,119.15,8,34.2,0.0
ORD-000286,2020-02-04,Office Supplies,Binders,South,Corporate,312.51,6,52.64,0.15
ORD-000287,2020-02-04,Technology,Computers,Central,Consumer,1230.19,8,311.22,0.0
ORD-000288,2020-02-04,Furniture,Bookcases,West,Corporate,1216.57,8,156.32,0.0
ORD-000289,2020-02-04,Furniture,Bookcases,East,Corporate,431.02,9,112.49,0.0
ORD-000290,2020-02-04,Furniture,Bookcases,South,Consumer,481.73,8,123.4,0.0
ORD-000291,2020-02-04,Office Supplies,Pens,Central,Corporate,58.62,6,17.06,0.0
ORD-000292,2020-02-04,Office Supplies,Binders,Central,Corporate,176.98,8,44.18,0.0
ORD-000293,2020-02-05,Furniture,Chairs,Central,Home Office,693.24,4,90.53,0.1
ORD-000294,2020-02-05,Office Supplies,Paper,Central,Corporate,83.61,8,15.35,0.1
ORD-000295,2020-02-05,Technology,Computers,Central,Corporate,1031.9,2,258.53,0.0
ORD-000296,2020-02-05,Technology,Phones,South,Consumer,1226.33,4,279.02,0.1
ORD-000297,2020-02-05,Furniture,Chairs,West,Consumer,53.1,7,5.35,0.1
ORD-000298,2020-02-05,Technology,Phones,South,Corporate,1723.59,6,531.16,0.0
ORD-000299,2020-02-05,Technology,Computers,East,Consumer,1398.9,3,434.35,0.0
ORD-000300,2020-02-05,Office Supplies,Paper,West,Consumer,371.86,7,94.36,0.1
ORD-000301,2020-02-05,Technology,Phones,Central,Consumer,632.53,3,126.74,0.15
ORD-000302,2020-02-05,Technology,Computers,Central,Home Office,1779.26,5,249.13,0.0
ORD-000303,2020-02-05,Office Supplies,Paper,West,Home Office,231.47,4,68.31,0.0
ORD-000304,2020-02-06,Furniture,Tables,Central,Consumer,1280.2,5,281.93,0.0
ORD-000305,2020-02-06,Furniture,Tables,West,Consumer,1069.47,3,358.45,0.0
ORD-000306,2020-02-06,Technology,Computers,South,Home Office,327.24,6,113.81,0.1
